no,price,mark,model,year,mileage,engine_capacity,transmission,drive,hand_drive,fuel
0,80,nissan,march,2003,80000,1240,automatic,2,righthand,petrol
1,110,nissan,march,2010,53000,1200,automatic,2,righthand,petrol
2,165,nissan,lafesta,2005,47690,2000,automatic,2,righthand,petrol
3,190,toyota,avensis,2008,130661,1990,automatic,2,righthand,petrol
4,190,daihatsu,mira,2006,66300,660,automatic,2,righthand,petrol
5,190,daihatsu,mira,2004,81400,660,automatic,2,righthand,petrol
8,220,nissan,march,2010,117000,1200,automatic,2,righthand,petrol
9,230,volkswagen,passat,2008,127763,3190,automatic,4,righthand,petrol
10,275,mazda,bongo van,2010,178218,1800,manual,2,righthand,petrol
11,283,honda,step wgn,2005,121655,2000,automatic,2,righthand,petrol
12,290,subaru,sambar,2004,121000,650,manual,2,righthand,petrol
13,290,honda,inspire,2002,61000,2490,automatic,2,righthand,petrol
14,290,mercedes-benz,mercedes-benz others,2006,86000,2030,automatic,2,righthand,petrol
15,290,nissan,march,2011,62000,1200,automatic,2,righthand,petrol
16,290,nissan,march,2010,38000,1200,automatic,2,righthand,petrol
17,290,nissan,march,2011,130000,1200,automatic,2,righthand,petrol
18,290,nissan,march,2011,113000,1200,automatic,2,righthand,petrol
19,290,nissan,march,2010,152300,1200,automatic,2,righthand,petrol
20,290,nissan,note,2010,105000,1500,automatic,2,righthand,petrol
21,290,nissan,march,2010,85700,1200,automatic,2,righthand,petrol
22,290,toyota,passo,2007,112700,1000,automatic,2,righthand,petrol
23,290,subaru,impreza,2008,127000,1500,automatic,2,righthand,petrol
24,290,toyota,passo,2009,92800,1000,automatic,2,righthand,petrol
25,300,kubota,kubota others,1979,9999,9,manual,4,center,diesel
26,300,honda,life,2006,67975,660,automatic,2,righthand,petrol
27,300,toyota,passo,2007,147933,990,automatic,2,righthand,petrol
28,308,toyota,avensis,2006,58500,2390,automatic,2,righthand,petrol
29,310,toyota,progres,2002,109000,2490,automatic,2,righthand,petrol
30,313,nissan,cube cubic,2007,109244,1500,automatic,2,righthand,petrol
31,320,nissan,march,2011,65000,1200,automatic,2,righthand,petrol
32,330,nissan,note,2010,42300,1500,automatic,2,righthand,petrol
33,330,nissan,note,2010,135000,1500,automatic,2,righthand,petrol
34,330,nissan,cube,2010,112000,1500,automatic,2,righthand,petrol
35,336,mercedes-benz,a-class,2006,34175,1700,automatic,2,righthand,petrol
36,340,nissan,march,2010,127000,1200,automatic,2,righthand,petrol
37,340,nissan,cube,2010,123000,1500,automatic,2,righthand,petrol
38,345,toyota,passo,2007,90066,1000,automatic,2,righthand,petrol
39,350,nissan,note,2010,71000,1500,automatic,2,righthand,petrol
40,350,mitsubishi,coltplus,2005,23100,1500,automatic,2,righthand,petrol
41,350,nissan,march,2011,78000,1200,automatic,2,righthand,petrol
42,350,toyota,passo,2010,134700,1000,automatic,2,righthand,petrol
43,350,nissan,note,2011,143000,1500,automatic,2,righthand,petrol
44,350,nissan,march,2011,125000,1200,automatic,2,righthand,petrol
45,350,nissan,cube,2010,130300,1500,automatic,2,righthand,petrol
46,350,nissan,note,2006,38000,1500,automatic,2,righthand,petrol
47,350,nissan,cube,2010,122300,1500,automatic,2,righthand,petrol
48,350,toyota,passo,2011,78300,1000,automatic,2,righthand,petrol
49,350,toyota,passo,2010,82000,1000,automatic,2,righthand,petrol
50,350,suzuki,mr wagon,2006,101800,660,automatic,2,righthand,petrol
51,350,toyota,passo,2004,83500,1000,automatic,2,righthand,petrol
52,350,daihatsu,mira,2012,51000,660,automatic,2,righthand,petrol
53,355,toyota,passo,2009,58377,1000,automatic,2,righthand,petrol
54,355,mitsubishi,pajero mini,2003,92997,660,manual,2,righthand,petrol
55,370,honda,fit,2008,59484,1290,automatic,2,righthand,petrol
56,373,subaru,legacy b4,2005,140700,2000,automatic,4,righthand,petrol
57,375,toyota,vitz,2007,128317,1000,automatic,2,righthand,petrol
58,375,toyota,vitz,2007,127614,1000,automatic,2,righthand,petrol
59,378,honda,fit,2008,115131,1290,automatic,2,righthand,petrol
60,380,honda,inspire,2007,133000,2990,automatic,2,righthand,petrol
61,380,nissan,note,2010,81000,1500,automatic,2,righthand,petrol
62,380,toyota,mark ii blit,2006,132000,1980,automatic,2,righthand,petrol
63,380,nissan,note,2011,125000,1500,automatic,2,righthand,petrol
64,380,nissan,note,2011,123000,1500,automatic,2,righthand,petrol
65,381,nissan,note,2010,87000,1500,automatic,2,righthand,petrol
66,390,honda,insight,2009,153520,1290,automatic,2,righthand,petrol
67,390,nissan,note,2011,138000,1500,automatic,2,righthand,petrol
68,390,nissan,note,2011,120000,1500,automatic,2,righthand,petrol
69,390,toyota,passo,2010,84000,1000,automatic,2,righthand,petrol
70,390,toyota,passo,2010,108600,1000,automatic,2,righthand,petrol
71,390,nissan,cube,2011,109100,1500,automatic,2,righthand,petrol
72,390,nissan,march,2011,83000,1200,automatic,2,righthand,petrol
73,390,nissan,note,2011,59800,1500,automatic,2,righthand,petrol
74,390,nissan,note,2011,96300,1500,automatic,2,righthand,petrol
75,390,toyota,passo,2011,128000,1000,automatic,2,righthand,petrol
76,390,toyota,passo,2011,69400,1000,automatic,2,righthand,petrol
77,390,nissan,cube,2011,157700,1500,automatic,4,righthand,petrol
78,390,nissan,cube,2011,160200,1500,automatic,2,righthand,petrol
79,390,toyota,passo,2011,112100,1000,automatic,2,righthand,petrol
80,390,nissan,cube,2011,170800,1500,automatic,2,righthand,petrol
81,390,nissan,cube,2011,97100,1500,automatic,2,righthand,petrol
82,390,nissan,cube,2010,139300,1500,automatic,2,righthand,petrol
83,390,nissan,cube,2011,115000,1500,automatic,2,righthand,petrol
84,390,nissan,cube,2011,173000,1500,automatic,2,righthand,petrol
85,390,daihatsu,move,2006,92200,660,automatic,2,righthand,petrol
86,390,daihatsu,move,2006,95400,660,automatic,2,righthand,petrol
87,390,nissan,note,2012,104500,1500,automatic,2,righthand,petrol
88,390,daihatsu,tanto,2012,200500,660,automatic,2,righthand,petrol
89,390,daihatsu,terios kid,1998,144500,660,automatic,4,righthand,petrol
